,Year,COU,Country,Composting%,Disposal%,Landfill%,Material_recovery%,Recovery%,Recycling%,Amt_for_recovery_operations,Composting,Electronic_waste,Household_waste,Landfill,Municipal_waste_generated,Municipal_waste_generated_percapita,Municipal_waste_generated_1990,Municipal_waste_generated_2000,Municipal_waste_treated,Recycling,Total_Incineration,Waste_from_households,Country_y,CO2_emissions_percapita,Female_education_attainment_bach,Male_education_attainment_bach,Total_education_attainment_bach,Energy_use_percapita,Forest_area,GDP_2015_USD,GDP_growth%,GDP_percapita_2015_USD,GDP_percapita_growth%,Education_expense_%_of_gdp,Education_expense_%_of_total_exp,Population_density,Population_growth%,Population_female,Population_female_%,Population_total,Poverty_headcount%_ppp,Poverty_headcount%_national_line,Population_urban%,Population_urban_growth%
35,1992,AUT,Austria,11.761,52.958,52.958,32.341,47.042,20.581,1328.0,332.0,,,1495.0,3176.0,405.571,99.126,68.36,2823.0,581.0,399.0,2476.0,Austria,7.35392679412028,,,,3245.59207592069,37881.64,254121610895.057,2.09352461709183,32410.53977326,0.97609224004664,5.2969799041748,11.7597103118896,95.0158628211343,1.10055228652823,4076674,51.993694752787,7840709,,,62.417,0.665705624472983
36,1992,BEL,Belgium,6.654,69.42,45.399,12.789,30.58,6.135,1296.0,282.0,,,1924.0,,,,,4238.0,260.0,1772.0,,Belgium,11.1825020572101,,,,5040.67044042513,7613.6,303409615205.607,1.53065494385902,30204.5637515713,1.11956586015553,,,,0.405713495856337,5129278,51.0621944736001,10045158,1.0,,96.542,0.489648012030033
37,1992,CHE,Switzerland,7.811,15.866,15.866,31.896,84.133,24.085,3446.68,320.0,,,650.0,4096.7,603.085,99.905,86.593,4096.7,986.68,2140.0,2731.1,Switzerland,6.64692080302948,,,,3613.28432938242,11620.36,466903226324.823,-0.0437329157835507,67909.6010516422,-1.13971898290825,,,173.932151078955,1.10252107229095,3518090,51.1695141961334,6875364,0.5,,73.815,1.02938820424635
38,1992,CHN,China (People's Republic of),,,,,,,,,,,,82620.0,,122.096,69.904,,,,,China,2.07574443977098,,,,752.628662540666,1611125.82,1282217440754.72,14.2245295931824,1100.64417174238,12.8332095807123,1.65455996990204,12.2905302047729,123.60857197122,1.2255362283362,567224558,48.6900570793803,1164970000,,,28.2,4.42511729026799
39,1992,ESP,Spain,10.533,85.01,84.054,11.285,14.99,0.752,2088.48,1467.53,,13932.41,11710.73,,,,,13932.41,104.75,649.4,,Spain,5.93421189225053,,,,2430.37452290655,145425.14,763113711724.854,0.929215548666747,19488.2233647074,0.436115221172912,3.83716011047363,9.73046016693115,78.403181563351,0.48975790543999,19984916,51.0370214782467,39157685,,,75.61,0.598270855145433
40,1992,FIN,Finland,,,,,,,,,,,1955.0,,,,,,,,,Finland,10.3689176817417,,,,5380.99306781923,219893.92,141957736303.906,-3.29466006575714,28155.0895566487,-3.83653305243031,6.52050018310547,11.4065999984741,16.5533733871762,0.561909850746084,2591895,51.4061647658797,5041992,,,80.128,0.918226849077237
41,1992,FRA,France,,,,,,,,,,,,27000.0,460.689,,86.45,,,,20500.0,France,6.26308214260178,,,,3954.00326137696,146064.0,1705347110174.84,1.59934267687127,28977.2620870713,1.09540135945181,4.73539018630981,9.56818008422852,107.47784924557,0.497242647455007,30227122,51.3619325582859,58851216,,,74.401,0.728690573784072
42,1992,GRC,Greece,,92.932,92.932,7.068,7.068,7.068,225.9,,,,2970.0,3200.0,307.095,106.667,71.959,3195.9,225.9,,,Greece,7.51798647974081,,,,2129.89451643759,33588.867,164364765197.412,0.699999892598541,15805.7314210785,-0.0662994676514757,,,80.6754150504267,0.76388272245526,5239302,50.3824485188709,10399061,,,71.757,0.934038998812453
43,1992,JPN,Japan,,,14.406,7.322,,7.322,,,,,7334.31,50902.94,406.147,101.286,92.833,50910.57,3727.75,36504.38,,Japan,8.96170383765321,,,,3644.19475989552,249352.0,3665890719855.77,0.900586066360461,29462.6539670948,0.526745036209022,,,341.264399341744,0.371192387198527,63138402,50.7441445193659,124425000,,,77.61,0.547872243868824
44,1992,KOR,Korea,,90.62,90.62,7.873,7.873,7.873,2157.88,,,,24838.98,27410.0,625.111,89.44,161.712,27410.04,2157.88,413.18,,"Korea, Rep.",6.79003058473901,,,,2534.34102827464,65360.0,472329450142.885,6.19864279836374,10796.6046542439,5.10078169583505,3.57788991928101,,453.534750155505,1.03916135557339,21806522,49.8458010487677,43747962,,,75.82,2.16390257767196
